frame,elbow_deg,shoulder_tilt_deg,trunk_lean_deg,upper_arm_to_horizontal_deg,suspect_illegal
43,125.7286948662419,46.161048542933585,173.5781294623266,123.88928422572224,True
44,138.22070035262348,42.5784763122824,171.97220179627442,134.3863195174427,True
45,129.6062451199447,41.06579309144013,173.41101307008404,117.85013184688067,True
46,125.16689790714203,35.944797056239636,173.19684384581325,105.32234436921387,True
47,130.78259792764592,33.688085907202236,173.38452172926216,110.6920798604648,True
48,130.42081533676216,22.706594768589547,172.14967245391136,107.46330242717964,True
49,130.3470575358282,22.3467073145118,172.11568360563936,106.12984811969868,True
50,121.98450554460518,17.34752160532374,172.29080618021558,89.03512370584062,True
51,149.92113615412768,12.645791880107065,169.66567870953241,74.65636402748721,True
52,149.19725197006196,13.470922223187815,170.1448598960735,73.65148832219022,True
53,148.35458147043062,14.791483511567556,169.86975442535433,73.67170427894888,True
54,149.99664903648667,14.331215847292242,170.04475869903033,75.11343643906874,True
55,152.80167306652663,12.135534010194199,170.48534678179212,73.87471428744024,True
56,150.6490947170736,10.960840744040306,170.72996479248022,73.62842849679086,True
57,155.93015016592446,5.657013317551113,171.5807169103095,66.73071326722209,True
58,157.79615597282913,6.62107827915274,171.32494196712628,68.10732882527796,True
59,156.02252829111146,4.879972921170206,174.44994041198512,67.37262360005681,True
60,161.73337319181397,2.425511663380039,174.36475358205365,68.13076898734576,True
61,158.00603143924494,2.30128995893334,173.97760030004977,66.40438713253138,True
62,154.81661968320108,5.302305558479228,174.4145005095476,69.19158709268778,True
63,156.851121173408,4.526831597554872,174.6942417386269,70.90763649658672,True
64,160.06465459451232,2.132415226441691,176.68413594831742,69.0555434191686,True
65,159.27282189574876,1.9743053050396333,177.88819381490507,67.20382442190456,True
66,159.11617935221133,1.958262258996977,177.9128415100038,67.12748400279477,True
67,162.24613692546782,0.9580204547426651,178.48214190205348,67.96198524160411,True
68,162.342268485512,-0.5102340798301357,178.84527310546957,66.5425678891344,True
69,162.01818389596085,-0.770168002368924,178.57771125619962,65.05899166006866,True
70,162.5634135046059,-1.4770339440062867,177.86219596983284,64.85140639527461,True
71,161.56757211011995,-2.4636016130997676,177.77379804004798,62.74746725362242,True
72,161.11414058064872,-1.5821133321634153,177.19908473637497,61.16723589161868,True
73,160.29956409309614,-1.6800745539339617,177.1444406265359,58.749699174869555,True
74,158.83924411058734,-1.3985840143140407,177.0817483174465,56.30010838788153,True
75,155.05056424672458,-1.0440134853571905,176.49119808508397,53.50148446091889,True
76,153.9437904174496,-1.4586612073186893,176.75084524227944,50.91713239423407,True
77,167.91836595663355,7.504859974708929,170.71775023701434,56.97564972891211,False
78,166.73921747746508,2.890680196113251,172.19494179660222,52.143701878184295,False
79,166.09208951072364,1.592003169309641,172.46788624293185,50.62613788863744,False
80,167.50022146134094,0.7060472200390048,171.7533690028341,49.11676050159488,False
81,169.69026037538063,0.9630317225375401,171.96581914981772,48.2779332117808,False
82,169.45766530935987,0.8048508451927633,171.9856153505271,48.132026757708466,False
83,169.5826758674607,0.545472074228763,171.84742429595082,46.9415778916139,False
84,169.9485796968687,-0.5914141421947883,171.70164534637328,45.43583080899345,False
85,168.5305708174861,-0.13825498304666248,172.123437655004,44.1606459407617,False
86,167.6463091467219,-1.5899086005313097,172.30224815709852,43.167382957310465,False
87,170.89673947988598,-1.795310190086037,171.04085352105102,40.577538191824786,False
88,171.9155721785436,-2.780876895476344,171.4282670405583,40.071626192968644,False
89,170.49065552222783,-3.556922863308958,171.82177693911765,37.55146603007912,False
90,170.227368768293,-4.240109532361918,171.94419959151082,36.68788537630232,False
91,169.84526951061133,-4.812394115171282,172.00079271364342,34.12143303689025,False
92,171.22924822013283,-5.144394028302285,171.89819677244654,33.69088739370524,False
93,172.96964273217804,-5.864369268394867,171.99327232998007,31.493307199902382,False
94,173.75406068341167,-5.312949118348326,172.54622316287413,30.37041042943003,False
95,179.14553325355354,-3.4968905005981723,172.4024618783683,29.9185922817433,False
96,178.95446535474133,-3.9739408456598295,172.50487912225657,29.504159335295306,False
97,179.28928466751807,-3.872351362780277,173.189024591835,28.026788935839303,False
