frame,elbow_deg,shoulder_tilt_deg,trunk_lean_deg,upper_arm_to_horizontal_deg,suspect_illegal
0,153.562465788109,130.02227373760704,176.67725746906663,105.216635478096,True
1,154.58572775987818,131.08421317811099,176.754968545442,105.67007806032565,True
2,150.65272639416423,126.9827130918542,177.3437183069307,100.50556889109296,True
3,148.12827292157147,122.98907022993285,177.45334610093332,97.91685816995302,True
4,147.85254927923606,121.18006593474227,179.70281327075946,94.73431786065653,True
5,142.14427252063993,111.80050372378955,178.80665317294367,92.59533794772906,True
6,139.06156160263285,104.94728948428006,179.8024311226071,89.80500060338892,True
7,138.93472918927233,101.65849373470891,179.04893968520506,87.65541020241201,True
8,137.23266545579904,103.32035666260786,177.59258259781663,84.80742078887621,True
9,140.3516508981469,114.63526523100629,172.61948489903025,77.81034309170765,True
10,140.67996319848976,103.66118725257297,171.0498818669676,77.65911510889646,True
11,143.93474951694628,99.8247798848039,172.3558557729261,80.49748102582687,True
12,144.96393367106413,99.4071255716641,171.34467289366148,73.40604359132996,True
13,144.28874742214427,95.11923911290049,171.69548625697934,80.0916538213928,True
14,147.8892475721583,98.51975060386204,172.13832781627085,80.88694191705842,True
15,148.24844702953763,98.4695403954233,172.44002704485254,81.24792856444104,True
16,153.8640985376328,100.07834679595135,173.92028163696637,84.25920898593218,True
17,177.4474072510239,97.00833522002996,176.8229994437023,100.76694688529311,False
18,169.73648559930623,96.1156850240553,176.23062345355433,92.83657408610713,False
19,164.3360579136949,97.16494621915056,175.9335007931989,90.55221263077512,True
20,156.3056075551335,96.58559516407135,173.33511753520872,85.02402183209044,True
21,155.62842867447145,95.98832137924119,171.93294891302116,83.79492737887973,True
22,155.36449259944482,95.20794954368549,171.34610403066057,83.97809370436244,True
23,151.15074873807487,100.33682388873743,172.84212045976895,82.81689460286827,True
24,151.45071411588188,100.4858564849974,171.8797182035042,84.69122424792117,True
25,150.67559864671358,97.56843064830927,171.2866243508998,86.27381924433568,True
26,150.76114860367386,94.33907718018831,171.14388208602338,90.91152131974768,True
27,160.89955536782261,83.40234610019571,170.45990652856165,96.24441059655284,True
28,158.35541980501958,80.87172117019108,171.94093444345341,96.00159223975461,True
29,153.50671779318498,70.51578247458166,173.24067243484927,92.92964623603184,True
30,153.38191464632004,71.46522630570986,172.04014749432463,94.46090836449017,True
31,140.11606221125524,71.40058268333851,172.7059874631698,107.01570684618233,True
32,126.23532538772756,69.07874173240383,172.98121926847494,143.47299413625765,True
33,126.24486708533637,69.07634562321627,173.12993539869447,146.56723113456522,True
34,137.3429865169113,56.003971340951615,172.73432904733687,158.1954203007141,True
35,114.43648520884497,56.640703629939125,173.3093632811717,125.32685654528534,True
36,109.35138541413002,56.443811944660766,172.18461948926182,116.59001057700968,True
37,109.68685657820956,50.07783209668783,171.86381349753086,105.59838574541297,True
38,112.97958793936907,56.00381059372629,172.3244567601753,106.62654678543188,True
39,116.93830944092974,61.83129527378966,173.1602056904644,114.25631326288469,True
40,121.9516375176117,64.28417025549328,172.00976576986704,126.09091921476842,True
41,122.06334933105651,66.54794508994009,171.9687223760843,123.1789420344172,True
42,120.8559915004934,56.68783523159134,173.00295348646986,121.13306964340575,True
